TARGET,ENGLISH,KOREAN,JAPANESE,CHINESE
Title_Continue,@ Continue,@ 이어서 하기,,
Title_NewGame,@ New Game,@ 새로운 게임,,
Title_Options,@ Options,@ 설정,,
Title_Quit,@ Quit,@ 종료,,
Title_Prompt,<bounce a=3><color=#DB3475>Erase all</color></bounce> save data and start <slide><color=#91CCFE>new game?</color></slide>,<bounce a=3><color=#DB3475>모든</color></bounce> 세이브를 지우고<br> <slide><color=#91CCFE>새롭게 시작하시겠습니까?</color></slide>,,
Title_Prompt_Yes,Yes,예,,
Title_Prompt_No,No,아니요,,
LoadingText,<bounce a=2 f=2>Loading...</bounce>,<bounce a=2 f=2>로딩중...</bounce>,,
BindingResetPrompt_Main,Reset to default controls?,키설정을 초기화 하시겠습니까?,,
BindingResetPrompt_Yes,Yes,예,,
BindingResetPrompt_No,No!,아니요!,,
ConfirmPrompt,Quit Game?,게임을 종료하시겠습니까?,,
ConfirmPrompt_Yes,Yes,예,,
ConfirmPrompt_No,No,아니요,,
UseItemPrompt,Use Item?,아이템을 사용하시겠습니까?,,
RestoreHealth,Restored [?] HP.,[?] HP를 회복했습니다.,,
ReviveCost_Text,REVIVE COST,부활 비용,,
BattleLost_MoneyMessage,You dropped [?] coins.,[?] 코인을 떨구었다.,,
BattleLost_ExitMessage,Fatigue overwhelms you...,피로가 몰려온다...,,
Resultcard_Counter_Text,COUNTER,카운터,,
Resultcard_Parry_Text,PARRY,패링,,
Resultcard_Super_Text,SUPER,슈퍼,,
BattleWon_ExpMessage,Gained Total [?] Exp.,총 [?] EXP 를 획득했다.,,
BattleWon_MoneyMessage,Earned [?] Coins.,[?] 코인을 얻었다.,,
BattleWon_ItemMessage,Obtained [?]!,[?]를 주웠다!,,
Dialogue_TextField,I'm not a tomato.,난 토마토가 아닌데.,,
Choicebox_Yes,Yes,예,,
Choicebox_No,No,아니요,,
Paused,PAUSED,일시정지,,
Back,Back,뒤로,,
Save,Save,저장하기,,
Load,Load,불러오기,,
Options,Options,설정,,
Quit,Quit,종료,,
Menu_Graphic_Text,GRAPHICS,그래픽,,
Menu_Controls_Text,CONTROLS,키설정,,
Menu_Sound_Text,SOUND,오디오,,
Graphic_Resolution,RESOLUTIONS,해상도,,
Graphic_Fullscreen,* Fullscreen,* 전체화면,,
Graphic_Language,English,한국어,日本語,中国人
Controls_Freeroam,FREEROAM,산책모드,,
Controls_Battle,BATTLE,격투모드,,
Controls_Roam_0,* Move Up,* 위로 이동,,
Controls_Roam_1,* Move Down,* 아래로 이동,,
Controls_Roam_2,* Move Left,* 왼쪽 이동,,
Controls_Roam_3,* Move Right,* 오른쪽 이동,,
Controls_Roam_4,* Interact,* 확인/상호작용,,
Controls_Roam_5,* Cancel,* 취소,,
Controls_Roam_6,* Left Page,* 왼쪽 페이지,,
Controls_Roam_7,* Right Page,* 오른쪽 페이지,,
Controls_Roam_8,* Status/Item,* 능력치/아이템,,
Controls_Battle_0,* Jump,* 점프,,
Controls_Battle_1,* Guard,* 가드,,
Controls_Battle_2,* Evade Left,* 왼쪽 회피,,
Controls_Battle_3,* Evade Right,* 오른쪽 회피,,
Controls_Battle_4,* Left Punch,* 왼쪽 펀치,,
Controls_Battle_5,* Right Punch,* 오른쪽 펀치,,
Controls_Battle_6,* 1st Equip,* 무기스킬 1,,
Controls_Battle_7,* 2nd Equip,* 무기스킬 2,,
Controls_Battle_8,* Super Skill,* 슈퍼스킬,,
Controls_Battle_9,* 1st Assist,* 보조스킬 1,,
Controls_Battle_10,* 2nd Assist,* 보조스킬 2,,
Wait_InputBind,Waiting for input...,입력을 기다리고 있습니다...,,
Detect_DuplicateBind,Already in use!,중복이 존재합니다!,,
All_ConsumableIcon_Text,CNS,소비,,
All_ItemIcon_Text,ITM,아이템,,
Mato_StatusIcon_Text,STT,능력치,,
